編號,車號,進廠日期,進廠時間,出廠日期,出廠時間,客戶,品名,料號,重量,總重,過磅員,序號,過磅方式,卡號,進貨
53490,KLD-5506,20241119,051500,20241119,061000,正億,,垃圾,18030,36860,八德區清潔隊,32,#,,-1
53491,LAG-219,20241119,052041,20241119,063041,正億,,垃圾,18000,37900,八德區清潔隊,99,#,,-1
53494,KEA-9702,20241119,085055,20241119,091155,八德區中隊,轉運車,垃圾,20690,39320,八德區清潔隊,100,#,,-1
53495,KLD-5506,20241119,091019,20241119,093019,正億,,垃圾,18030,38330,八德區清潔隊,103,#,,-1
53496,860-UA,20241119,092833,20241119,093320,楊梅區中隊,,彈簧床,4200,4650,八德區清潔隊,1,,,-1
53497,030-VM,20241119,092953,20241119,093352,八德區清潔隊,抓斗車,,7980,9030,八德區清潔隊,2,*,0000020551,-1
53498,KEA-7113,20241119,093707,20241119,094305,八德區清潔隊,,,4300,5040,八德區清潔隊,3,,0000047605,-1
53499,LAG-219,20241119,091100,20241119,094400,正億,,垃圾,18000,36980,八德區清潔隊,104,#,,-1
53500,903-S5,20241119,094013,20241119,094524,八德區清潔隊,社區定點,,5120,7550,八德區清潔隊,5,,0000020521,-1
53501,448-VM,20241119,094039,20241119,094734,八德區清潔隊,社區定點,,7170,11270,八德區清潔隊,6,*,0000020589,-1
53502,980-UN,20241119,094542,20241119,094758,八德區清潔隊,,,6210,6750,八德區清潔隊,7,*,0000020542,-1
53503,KEA-9816,20241119,094246,20241119,094948,八德區清潔隊,,,4360,5000,八德區清潔隊,8,*,0000020730,-1
53504,851-UA,20241119,095255,20241119,100114,八德區清潔隊,,,4130,5080,八德區清潔隊,9,*,0000020534,-1
53505,KEA-7025,20241119,100320,20241119,101059,八德區清潔隊,,,4680,5740,八德區清潔隊,10,,0000020540,-1
53506,KEE-3253,20241119,100046,20241119,101125,新屋區中隊,,彈簧床,4360,5570,八德區清潔隊,11,,,-1
53507,302-VN,20241119,100515,20241119,101233,八德區清潔隊,,,4580,5770,八德區清潔隊,12,*,0000020535,-1
